year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
1950,1661042615334.3955,18663400172.296577,8466,apecosm,ipsl,historical
1951,1644534529516.1592,18477916061.979317,8466,apecosm,ipsl,historical
1952,1730296822114.0159,19441537327.123775,8466,apecosm,ipsl,historical
1953,1726099567939.5898,19394377167.860558,8466,apecosm,ipsl,historical
1954,1649739422725.1377,18536398008.147614,8466,apecosm,ipsl,historical
1955,1660005522719.0269,18651747446.2812,8466,apecosm,ipsl,historical
1956,1692129007303.4944,19012685475.32016,8466,apecosm,ipsl,historical
1957,1759554616763.047,19770276592.843224,8466,apecosm,ipsl,historical
1958,1721766061045.2854,19345686079.16051,8466,apecosm,ipsl,historical
1959,1695660127375.4224,19052360981.74632,8466,apecosm,ipsl,historical
1960,1715888146130.6028,19279642091.355087,8466,apecosm,ipsl,historical
1961,1714122755515.8877,19259806241.751545,8466,apecosm,ipsl,historical
1962,1673261554889.5103,18800691627.972027,8466,apecosm,ipsl,historical
1963,1601807844957.2722,17997840954.57609,8466,apecosm,ipsl,historical
1964,1520071462508.3928,17079454634.925762,8466,apecosm,ipsl,historical
1965,1574871671883.7026,17695187324.535984,8466,apecosm,ipsl,historical
1966,1625834397036.2573,18267802213.890533,8466,apecosm,ipsl,historical
1967,1775051728992.372,19944401449.352497,8466,apecosm,ipsl,historical
1968,1726628352701.1577,19400318569.67593,8466,apecosm,ipsl,historical
1969,1825681482227.9832,20513275081.21329,8466,apecosm,ipsl,historical
1970,1780698480472.0806,20007848095.191917,8466,apecosm,ipsl,historical
1971,1855185111385.2292,20844776532.418304,8466,apecosm,ipsl,historical
1972,1794163910547.129,20159145062.327293,8466,apecosm,ipsl,historical
1973,1730331310172.9204,19441924833.4036,8466,apecosm,ipsl,historical
1974,1577089263999.5874,17720104089.883003,8466,apecosm,ipsl,historical
1975,1565743309364.0725,17592621453.528904,8466,apecosm,ipsl,historical
1976,1577219842574.0337,17721571264.876785,8466,apecosm,ipsl,historical
1977,1608109246658.8914,18068643220.88642,8466,apecosm,ipsl,historical
1978,1620795572352.4414,18211186206.207207,8466,apecosm,ipsl,historical
1979,1654132235637.1191,18585755456.596844,8466,apecosm,ipsl,historical
1980,1724647524073.7002,19378062068.243824,8466,apecosm,ipsl,historical
1981,1645498886647.2961,18488751535.362877,8466,apecosm,ipsl,historical
1982,1566098446415.8591,17596611757.481564,8466,apecosm,ipsl,historical
1983,1699022915866.3564,19090145122.09389,8466,apecosm,ipsl,historical
1984,1827209075854.6858,20530439054.54703,8466,apecosm,ipsl,historical
1985,1798133120568.1477,20203742927.731995,8466,apecosm,ipsl,historical
1986,1674714418891.0376,18817015942.59593,8466,apecosm,ipsl,historical
1987,1734797889222.7705,19492111114.86259,8466,apecosm,ipsl,historical
1988,1737147245525.7888,19518508376.694256,8466,apecosm,ipsl,historical
1989,1765802892904.1733,19840481942.74352,8466,apecosm,ipsl,historical
1990,1778356137003.938,19981529629.257732,8466,apecosm,ipsl,historical
1991,1622278775015.3003,18227851404.666294,8466,apecosm,ipsl,historical
1992,1653862061800.6816,18582719795.513275,8466,apecosm,ipsl,historical
1993,1586947819451.7534,17830874375.8624,8466,apecosm,ipsl,historical
1994,1685366775675.1147,18936705344.66421,8466,apecosm,ipsl,historical
1995,1743154667433.0022,19586007499.247215,8466,apecosm,ipsl,historical
1996,1732190600271.925,19462815733.392414,8466,apecosm,ipsl,historical
1997,1725989803776.435,19393143862.656574,8466,apecosm,ipsl,historical
1998,1608750988164.71,18075853799.60348,8466,apecosm,ipsl,historical
1999,1674534087737.5396,18814989749.859993,8466,apecosm,ipsl,historical
2000,1744898031317.437,19605595857.49929,8466,apecosm,ipsl,historical
2001,1678699150548.2766,18861788208.4076,8466,apecosm,ipsl,historical
2002,1738015128315.5818,19528259868.7144,8466,apecosm,ipsl,historical
2003,1860084067781.8118,20899820986.312492,8466,apecosm,ipsl,historical
2004,1799552430963.6804,20219690235.54697,8466,apecosm,ipsl,historical
2005,1763215519221.6873,19811410328.333565,8466,apecosm,ipsl,historical
2006,1939325566958.5005,21790174909.646072,8466,apecosm,ipsl,historical
2007,1746674997175.418,19625561766.01593,8466,apecosm,ipsl,historical
2008,1680884564915.471,18886343426.01653,8466,apecosm,ipsl,historical
2009,1824162786539.811,20496211084.71698,8466,apecosm,ipsl,historical
2010,1782560804348.8938,20028773082.57184,8466,apecosm,ipsl,historical
2011,1654656732273.9106,18591648677.23495,8466,apecosm,ipsl,historical
2012,1675065128305.8364,18820956497.818386,8466,apecosm,ipsl,historical
2013,1782485783665.3696,20027930153.54348,8466,apecosm,ipsl,historical
2014,1771853571299.4946,19908467093.252747,8466,apecosm,ipsl,historical
1950,13115707849914.48,7625411540.647954,8489,apecosm,ipsl,historical
1951,12460296002691.004,7244358141.099421,8489,apecosm,ipsl,historical
1952,12087754493406.764,7027764240.35277,8489,apecosm,ipsl,historical
1953,12103641957593.965,7037001138.136026,8489,apecosm,ipsl,historical
1954,11907061451611.004,6922710146.285468,8489,apecosm,ipsl,historical
1955,11626073038363.887,6759344789.746447,8489,apecosm,ipsl,historical
1956,12215904795922.674,7102270230.187601,8489,apecosm,ipsl,historical
1957,12972123968861.822,7541932540.035943,8489,apecosm,ipsl,historical
1958,13443830861204.393,7816180733.258368,8489,apecosm,ipsl,historical
1959,13372600994845.254,7774768020.258868,8489,apecosm,ipsl,historical
1960,13089384033751.21,7610106996.366983,8489,apecosm,ipsl,historical
1961,12720099423083.004,7395406641.327328,8489,apecosm,ipsl,historical
1962,12837828734675.18,7463853915.508825,8489,apecosm,ipsl,historical
1963,13116024512988.006,7625595647.08605,8489,apecosm,ipsl,historical
1964,13249079910486.816,7702953436.329544,8489,apecosm,ipsl,historical
1965,12801830511557.062,7442924716.021547,8489,apecosm,ipsl,historical
1966,12484737127462.357,7258568097.361836,8489,apecosm,ipsl,historical
1967,12470767615873.592,7250446288.298599,8489,apecosm,ipsl,historical
1968,12603626393848.896,7327689763.865638,8489,apecosm,ipsl,historical
1969,12650672960677.648,7355042418.998632,8489,apecosm,ipsl,historical
1970,12142937536632.064,7059847405.018642,8489,apecosm,ipsl,historical
1971,12032776806799.986,6995800469.06976,8489,apecosm,ipsl,historical
1972,12375161128050.498,7194861120.959592,8489,apecosm,ipsl,historical
1973,12378003476068.393,7196513648.876972,8489,apecosm,ipsl,historical
1974,12391641537014.062,7204442754.077944,8489,apecosm,ipsl,historical
1975,12468235869459.979,7248974342.70929,8489,apecosm,ipsl,historical
1976,12587088359587.674,7318074627.667252,8489,apecosm,ipsl,historical
1977,12848211643793.043,7469890490.577351,8489,apecosm,ipsl,historical
1978,12961553994789.05,7535787206.272704,8489,apecosm,ipsl,historical
1979,13196531921663.732,7672402280.037054,8489,apecosm,ipsl,historical
1980,13617296907883.67,7917033085.978878,8489,apecosm,ipsl,historical
1981,13518587561548.65,7859643931.1329365,8489,apecosm,ipsl,historical
1982,13372329097207.332,7774609940.236821,8489,apecosm,ipsl,historical
1983,12863164391742.268,7478583948.687365,8489,apecosm,ipsl,historical
1984,12454489668804.324,7240982365.58391,8489,apecosm,ipsl,historical
1985,12459576188115.77,7243939644.253355,8489,apecosm,ipsl,historical
1986,12141583506075.51,7059060177.950878,8489,apecosm,ipsl,historical
1987,12117132062817.21,7044844222.568146,8489,apecosm,ipsl,historical
1988,12073209171037.016,7019307657.57966,8489,apecosm,ipsl,historical
1989,12598694640130.922,7324822465.192396,8489,apecosm,ipsl,historical
1990,13514098586439.293,7857034061.883309,8489,apecosm,ipsl,historical
1991,13521952330562.611,7861600192.187565,8489,apecosm,ipsl,historical
1992,13133727216026.537,7635887916.294498,8489,apecosm,ipsl,historical
1993,12290057911435.861,7145382506.648756,8489,apecosm,ipsl,historical
1994,11613124140832.535,6751816360.949148,8489,apecosm,ipsl,historical
1995,11869851065957.31,6901076201.137971,8489,apecosm,ipsl,historical
1996,12085835388767.205,7026648481.841398,8489,apecosm,ipsl,historical
1997,12001711286719.877,6977739120.185975,8489,apecosm,ipsl,historical
1998,12067881375167.51,7016210101.841575,8489,apecosm,ipsl,historical
1999,11997462660967.223,6975268988.934431,8489,apecosm,ipsl,historical
2000,12219665768102.883,7104456841.92028,8489,apecosm,ipsl,historical
2001,11940526261730.176,6942166431.238474,8489,apecosm,ipsl,historical
2002,11505826898956.855,6689434243.579567,8489,apecosm,ipsl,historical
2003,11519004131142.447,6697095425.082818,8489,apecosm,ipsl,historical
2004,11476091430919.586,6672146180.767201,8489,apecosm,ipsl,historical
2005,11370509619039.521,6610761406.418326,8489,apecosm,ipsl,historical
2006,11298171370983.293,6568704285.455403,8489,apecosm,ipsl,historical
2007,11246541849291.09,6538687121.680866,8489,apecosm,ipsl,historical
2008,11406384605164.467,6631618956.49097,8489,apecosm,ipsl,historical
2009,11801336404397.898,6861242095.5801735,8489,apecosm,ipsl,historical
2010,12655528469780.48,7357865389.407256,8489,apecosm,ipsl,historical
2011,12941154191980.771,7523926855.8027735,8489,apecosm,ipsl,historical
2012,12836672622498.209,7463181757.266401,8489,apecosm,ipsl,historical
2013,13078195830812.918,7603602227.216813,8489,apecosm,ipsl,historical
2014,12905745133061.604,7503340193.640468,8489,apecosm,ipsl,historical
