year,total_biomass_g_m2,mean_weighted_biomass_G_m2,eez,model,esm,scenario
2002,3627257243533.4316,52568945558.455536,8323,apecosm,ipsl,historical
2003,3568962886517.5405,51724099804.602036,8323,apecosm,ipsl,historical
2004,3507196772394.046,50828938730.34849,8323,apecosm,ipsl,historical
2005,3396959920640.555,49231303197.68921,8323,apecosm,ipsl,historical
2006,3582934355308.044,51926584859.53687,8323,apecosm,ipsl,historical
2007,3786738693149.4023,54880270915.20873,8323,apecosm,ipsl,historical
2008,3860716578426.149,55952414180.08911,8323,apecosm,ipsl,historical
2009,3491113382382.235,50595846121.48166,8323,apecosm,ipsl,historical
2010,3442451173051.1924,49890596710.88685,8323,apecosm,ipsl,historical
2011,3856050275041.908,55884786594.810265,8323,apecosm,ipsl,historical
2012,3985773367714.303,57764831416.14932,8323,apecosm,ipsl,historical
2013,3705407590058.5986,53701559276.21158,8323,apecosm,ipsl,historical
2014,3815540793673.56,55297692661.93565,8323,apecosm,ipsl,historical
1950,1613798549725.4758,62069174989.441376,8382,apecosm,ipsl,historical
1951,1677405910294.9553,64515611934.42136,8382,apecosm,ipsl,historical
1952,1690839708403.2534,65032296477.04821,8382,apecosm,ipsl,historical
1953,1702040614182.9485,65463100545.49802,8382,apecosm,ipsl,historical
1954,1677005285802.7551,64500203300.105965,8382,apecosm,ipsl,historical
1955,1583399720273.0886,60899989241.27264,8382,apecosm,ipsl,historical
1956,1611136860388.4736,61966802322.633606,8382,apecosm,ipsl,historical
1957,1666859500677.4875,64109980795.28798,8382,apecosm,ipsl,historical
1958,1679028751463.8667,64578028902.456406,8382,apecosm,ipsl,historical
1959,1696940298721.5066,65266934566.21179,8382,apecosm,ipsl,historical
1960,1638400982537.1228,63015422405.27396,8382,apecosm,ipsl,historical
1961,1501499400468.568,57749976941.09877,8382,apecosm,ipsl,historical
1962,1580876498703.963,60802942257.84473,8382,apecosm,ipsl,historical
1963,1728392662075.7983,66476640849.06917,8382,apecosm,ipsl,historical
1964,1663117426877.1807,63966054879.89156,8382,apecosm,ipsl,historical
1965,1625000833694.019,62500032065.15459,8382,apecosm,ipsl,historical
1966,1544058786529.0955,59386876404.96521,8382,apecosm,ipsl,historical
1967,1589615174768.4343,61139045183.40132,8382,apecosm,ipsl,historical
1968,1676832871738.0874,64493571989.92644,8382,apecosm,ipsl,historical
1969,1632147771844.2725,62774914301.70278,8382,apecosm,ipsl,historical
1970,1611395245117.3674,61976740196.82182,8382,apecosm,ipsl,historical
1971,1497259326330.6726,57586897166.56433,8382,apecosm,ipsl,historical
1972,1495838878464.6091,57532264556.33112,8382,apecosm,ipsl,historical
1973,1571050161990.9077,60425006230.419525,8382,apecosm,ipsl,historical
1974,1574009639178.2332,60538832276.08589,8382,apecosm,ipsl,historical
1975,1577198366453.4297,60661475632.82422,8382,apecosm,ipsl,historical
1976,1640629907189.1917,63101150276.50737,8382,apecosm,ipsl,historical
1977,1602767554029.8242,61644905924.224014,8382,apecosm,ipsl,historical
