lon,lat,eez
-104,83.5,8493
-103,83.5,8493
-102,83.5,8493
-101,83.5,8493
-100,83.5,8493
-99,83.5,8493
-98,83.5,8493
-97,83.5,8493
-96,83.5,8493
-95,83.5,8493
-94,83.5,8493
-93,83.5,8493
-92,83.5,8493
-91,83.5,8493
-90,83.5,8493
-89,83.5,8493
-88,83.5,8493
-87,83.5,8493
-86,83.5,8493
-85,83.5,8493
-84,83.5,8493
-83,83.5,8493
-82,83.5,8493
-81,83.5,8493
-80,83.5,8493
-79,83.5,8493
-78,83.5,8493
-77,83.5,8493
-76,83.5,8493
-75,83.5,8493
-74,83.5,8493
-73,83.5,8493
-72,83.5,8493
-71,83.5,8493
-70,83.5,8493
-69,83.5,8493
-68,83.5,8493
-67,83.5,8493
-66,83.5,8493
-65,83.5,8493
-64,83.5,8493
-63,83.5,8493
-62,83.5,8493
-61,83.5,8493
-60,83.5,8493
-59,83.5,8493
-58,83.5,8493
-57,83.5,8493
-56,83.5,8438
-55,83.5,8438
-54,83.5,8438
-53,83.5,8438
-52,83.5,8438
-51,83.5,8438
-50,83.5,8438
-49,83.5,8438
-48,83.5,8438
-47,83.5,8438
-46,83.5,8438
-45,83.5,8438
-44,83.5,8438
-43,83.5,8438
-42,83.5,8438
-41,83.5,8438
-40,83.5,8438
-39,83.5,8438
-38,83.5,8438
-29,83.5,8438
-26,83.5,8438
-25,83.5,8438
-24,83.5,8438
-23,83.5,8438
-22,83.5,8438
-21,83.5,8438
-20,83.5,8438
-19,83.5,8438
-18,83.5,8438
-17,83.5,8438
-16,83.5,8438
-15,83.5,8438
-14,83.5,8438
-13,83.5,8438
-12,83.5,8438
-11,83.5,8438
-10,83.5,8438
-9,83.5,8438
-8,83.5,8438
-7,83.5,8438
-6,83.5,8438
-5,83.5,8438
-4,83.5,8438
-3,83.5,8438
-2,83.5,8438
-1,83.5,8438
0,83.5,8438
1,83.5,8438
2,83.5,8438
3,83.5,8438
4,83.5,8438
5,83.5,8438
6,83.5,8438
7,83.5,8438
